DATE,HourlyDryBulbTemperature,HourlyDewPointTemperature,HourlyStationPressure,HourlyWindSpeed,HourlyPrecipitation
2017-01-01T00:53:00,60,53,30.15,0,0.00
2017-01-01T01:00:00,60,53,30.12,0,NA
2017-01-01T01:53:00,61,55,30.15,0,0.00
2017-01-01T02:53:00,60,53,30.14,0,0.00
2017-01-01T03:53:00,61,55,30.13,5,0.00
2017-01-01T04:00:00,61,55,30.10,5,NA
2017-01-01T04:53:00,61,56,30.12,0,0.00
2017-01-01T05:53:00,62,56,30.12,3,0.00
2017-01-01T06:53:00,63,57,30.14,3,0.00
2017-01-01T07:00:00,63,57,30.11,3,NA
2017-01-01T07:53:00,64,58,30.15,3,0.00
2017-01-01T08:53:00,67,59,30.16,8,0.00
2017-01-01T09:53:00,71,61,30.18,9,0.00
2017-01-01T10:00:00,71,61,30.15,9,NA
2017-01-01T10:53:00,74,62,30.18,11,0.00
2017-01-01T11:53:00,77,64,30.18,8,0.00
2017-01-01T12:53:00,80,63,30.14,13,0.00
2017-01-01T13:00:00,80,63,30.11,13,NA
2017-01-01T13:53:00,80,64,30.11,8,0.00
2017-01-01T14:53:00,79,64,30.11,7,0.00
2017-01-01T15:53:00,79,64,30.11,6,0.00
2017-01-01T16:00:00,79,64,30.08,6,NA
2017-01-01T16:53:00,77,65,30.11,5,0.00
2017-01-01T17:53:00,72,64,30.13,5,0.00
2017-01-01T18:53:00,73,64,30.14,0,0.00
2017-01-01T19:00:00,73,64,30.11,0,NA
2017-01-01T19:53:00,72,65,30.14,6,0.00
2017-01-01T20:53:00,72,66,30.15,5,0.00
2017-01-01T21:53:00,72,65,30.17,6,0.00
2017-01-01T22:00:00,72,65,30.14,6,NA
2017-01-01T22:53:00,71,65,30.18,3,0.00
2017-01-01T23:53:00,71,65,30.17,3,0.00
2017-01-02T00:53:00,70,65,30.16,5,0.00
2017-01-02T01:00:00,70,65,30.13,5,NA
2017-01-02T01:53:00,70,65,30.17,6,0.00
2017-01-02T02:53:00,69,65,30.16,3,0.00
2017-01-02T03:53:00,69,65,30.15,6,0.00
2017-01-02T04:00:00,69,65,30.12,6,NA
2017-01-02T04:53:00,69,66,30.16,5,0.00
2017-01-02T05:53:00,69,66,30.15,6,0.00
2017-01-02T06:53:00,69,66,30.16,6,0.00
2017-01-02T07:00:00,69,66,30.13,6,NA
2017-01-02T07:53:00,69,67,30.17,6,0.00
2017-01-02T08:53:00,72,68,30.18,6,0.00
2017-01-02T09:22:00,74,69,30.20,7,NA
2017-01-02T09:53:00,75,69,30.20,8,0.00
2017-01-02T10:00:00,75,69,30.17,8,NA
2017-01-02T10:53:00,78,70,30.18,9,0.00
2017-01-02T11:53:00,80,69,30.16,8,0.00
2017-01-02T12:53:00,83,69,30.11,8,0.00
2017-01-02T13:00:00,83,69,30.08,8,NA
2017-01-02T13:53:00,82,69,30.07,9,0.00
2017-01-02T14:53:00,83,69,30.07,8,0.00
2017-01-02T15:53:00,81,68,30.07,9,0.00
